"","STATEFP","COUNTYFP","COUNTYNS","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER"
"1","17","131","01784750","0500000US17131","17131","Mercer","06","1453500334","19409984"
"2","17","073","00424238","0500000US17073","17073","Henry","06","2131552409"," 6861752"
"3","17","067","00424235","0500000US17067","17067","Hancock","06","2055740577","53535828"
"4","17","187","01785134","0500000US17187","17187","Warren","06","1404823489"," 1674135"
"5","17","169","01785037","0500000US17169","17169","Schuyler","06","1132531126","10511619"
"6","19","135","00465256","0500000US19135","19135","Monroe","06","1123317231"," 1522796"
"7","19","109","00465243","0500000US19109","19109","Kossuth","06","2519332666"," 4154725"
"8","19","011","00465195","0500000US19011","19011","Benton","06","1855117307"," 5760770"
"9","19","067","00465222","0500000US19067","19067","Floyd","06","1296631059"," 1942569"
"10","19","145","00465261","0500000US19145","19145","Page","06","1385494467"," 1359125"
"11","19","045","00465211","0500000US19045","19045","Clinton","06","1799830912","39514668"
"12","19","063","00465220","0500000US19063","19063","Emmet","06","1025328491","17196398"
"13","19","101","00465239","0500000US19101","19101","Jefferson","06","1127964783"," 3538407"
"14","19","065","00465221","0500000US19065","19065","Fayette","06","1892804701"," 1320705"
"15","19","189","00465283","0500000US19189","19189","Winnebago","06","1037261880"," 3182052"
"16","19","187","00465282","0500000US19187","19187","Webster","06","1853443681"," 7277624"
"17","19","181","00465279","0500000US19181","19181","Warren","06","1475844902"," 9125392"
"18","19","083","00465230","0500000US19083","19083","Hardin","06","1474507700"," 1773879"
"19","19","149","00465263","0500000US19149","19149","Plymouth","06","2234715142"," 2176851"
"20","19","085","00465231","0500000US19085","19085","Harrison","06","1804808431","12417758"
"21","19","159","00465268","0500000US19159","19159","Ringgold","06","1386934256"," 8721187"
"22","19","087","00465232","0500000US19087","19087","Henry","06","1124896700"," 5780297"
"23","19","037","00465208","0500000US19037","19037","Chickasaw","06","1306338744"," 3309320"
"24","19","119","00465248","0500000US19119","19119","Lyon","06","1522007089","  334465"
"25","19","025","00465202","0500000US19025","19025","Calhoun","06","1476209004"," 5560503"
"26","19","021","00465200","0500000US19021","19021","Buena Vista","06","1488989048","13791665"
"27","19","171","00465274","0500000US19171","19171","Tama","06","1867411159"," 2769421"
"28","19","183","00465280","0500000US19183","19183","Washington","06","1473322162"," 5353718"
"29","27","047","00659469","0500000US27047","27047","Freeborn","06","1831347177","39714549"
"30","27","091","00659490","0500000US27091","27091","Martin","06","1844976810","44620591"
"31","27","099","00659495","0500000US27099","27099","Mower","06","1842332400","  617227"
"32","27","043","00659467","0500000US27043","27043","Faribault","06","1845304332","24420162"
"33","29","147","00758528","0500000US29147","29147","Nodaway","06","2271326366"," 2361587"
"34","29","079","00758494","0500000US29079","29079","Grundy","06","1127383765"," 7118003"
"35","29","171","00758540","0500000US29171","29171","Putnam","06","1339843833"," 5943338"
"36","31","155","00835899","0500000US31155","31155","Saunders","06","1943096671","24827647"
"37","31","127","00835885","0500000US31127","31127","Nemaha","06","1055100496"," 5769943"
"38","31","067","00835855","0500000US31067","31067","Gage","06","2205274175","22014428"
"39","31","109","00835876","0500000US31109","31109","Lancaster","06","2169236044","22881323"
"40","31","133","00835888","0500000US31133","31133","Pawnee","06","1116478126"," 4852361"
"41","31","131","00835887","0500000US31131","31131","Otoe","06","1594475777"," 8775373"
"42","31","097","00835870","0500000US31097","31097","Johnson","06"," 973968281"," 1766531"
"43","31","021","00835832","0500000US31021","31021","Burt","06","1273201487","14186013"
"44","31","051","00835847","0500000US31051","31051","Dixon","06","1233434236","17271570"
"45","31","025","00835834","0500000US31025","31025","Cass","06","1443778617","21873126"
"46","46","083","01265769","0500000US46083","46083","Lincoln","06","1495182279"," 1179308"
"47","46","027","01265764","0500000US46027","46027","Clay","06","1067562650","13071016"
"48","55","065","01581092","0500000US55065","55065","Lafayette","06","1640985379"," 2539100"
"49","55","043","01581081","0500000US55043","55043","Grant","06","2970369851","94553895"
"50","55","023","01581071","0500000US55023","55023","Crawford","06","1478002007","73945309"
"51","55","123","01581121","0500000US55123","55123","Vernon","06","2050174070","64297504"
